,game_id,genres,tags,release_date,rating
13244,582920,"['Action', 'RPG']","['Singleplayer', 'Steam Achievements', 'Full controller support', 'Atmospheric', 'Steam Cloud', 'RPG', 'Story Rich', 'Fantasy', 'Violent', 'Hack and Slash', 'Crafting', 'Dark Fantasy', 'Magic', 'Loot', 'Narration', 'Demons', 'CRPG', 'Real-Time', 'Party-Based RPG']",2018-08-31,3.28
13245,788690,['Adventure'],"['Singleplayer', 'Steam Achievements', 'Full controller support', 'VR']",2017-02-21,3.88
13246,252830,[],['jam'],2019-06-13,0.0
13247,208670,[],['jam'],2019-06-13,0.0
13248,514470,['Platformer'],"['2D', 'Difficult']",2021-10-26,0.0
13249,413010,"['Strategy', 'Action']","['Funny', 'Space']",2016-02-12,0.0
13250,853580,[],['jam'],2019-06-13,0.0
13251,257850,[],"['Horror', 'FPS']",2023-01-20,0.0
13252,700820,"['Indie', 'Massively Multiplayer', 'Action']","['Multiplayer', 'FPS', 'Violent', 'Online multiplayer', 'Local Multiplayer', 'Early Access']",,0.0
13253,463710,"['Casual', 'Indie']","['Singleplayer', 'steam-trading-cards']",2016-04-29,1.57
13254,285190,"['Strategy', 'Action', 'Simulation']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Atmospheric', 'Steam Cloud', 'steam-trading-cards', 'Great Soundtrack', 'Co-op', 'Story Rich', 'cooperative', 'Sci-fi', 'Gore', 'Classic', 'Violent', 'Online multiplayer', 'Tactical', 'stats', 'Steam Workshop', 'Space', 'Includes level editor', 'War', 'RTS', 'battle', 'Base Building', 'MOBA', 'Games Workshop', 'Warhammer 40K', 'interactive', 'office']",2017-04-27,3.04
13255,541370,[],['jam'],2019-06-13,0.0
13256,611120,[],"['Singleplayer', 'Great Soundtrack', 'Story Rich', 'Open World', 'cooperative', 'First-Person', 'Horror', 'FPS', 'Gore', 'Female Protagonist', 'Free to Play', 'Anime', 'Nudity', 'Survival Horror', 'Family Friendly', 'Cute', 'Memes', 'VR', 'Sexual Content', 'Illuminati', 'Cold War']",2017-05-29,0.0
13257,266310,[],['jam'],2019-06-13,0.0
13258,665890,"['Indie', 'Action']","['Singleplayer', 'Multiplayer', 'Co-op', 'Partial Controller Support', 'Online Co-Op', 'Free to Play', 'Online multiplayer', 'Cross-Platform Multiplayer']",2017-11-30,0.0
13259,732690,[],"['Fantasy', 'Other', 'fun', 'collection', 'universe']",2020-05-21,3.82
13260,1401680,"['Indie', 'Adventure', 'Action']","['Singleplayer', 'Steam Achievements', 'Atmospheric', 'Steam Cloud', 'Story Rich', 'First-Person', 'Horror', 'FPS', 'Exploration', 'Survival', 'Action-Adventure', 'Survival Horror', 'Realistic', '3D', 'Narration', 'Lore-Rich', 'Lovecraftian', 'Emotional', 'Thriller', 'Investigation']",,3.0
13261,936720,['Action'],"['Singleplayer', 'Horror', 'ocean', 'ludum-dare-48']",2021-04-27,0.0
13262,978780,"['Casual', 'RPG', 'Simulation']","['Singleplayer', 'Steam Achievements', 'Steam Cloud', 'RPG', 'Partial Controller Support', 'Female Protagonist', 'Anime', 'role-playing', 'Cute', 'Steam Trading Cards', 'Relaxing', 'Romance', 'Dating Sim', 'LGBTQ+', 'Farming Sim']",2020-07-14,3.94
13263,381090,[],['jam'],2019-06-13,0.0
13264,839280,"['Adventure', 'Action']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Atmospheric', 'Steam Cloud', 'steam-trading-cards', 'Great Soundtrack', 'Story Rich', 'Third Person', 'Horror', 'Gore', 'Difficult', 'Classic', 'Female Protagonist', 'Survival', 'Third-Person Shooter', 'Zombies', 'Survival Horror', 'Remake', 'tank controls', 'fixed camera']",2016-01-19,3.83
13265,1352330,"['Casual', 'Adventure', 'Simulation']","['Singleplayer', 'Steam Achievements', 'Atmospheric', 'Free to Play', 'In-App Purchases', 'Cute', 'Crafting', 'Colorful', 'Building', '3D', 'Story', 'Management', 'achievements', 'Relaxing', 'Narration', 'City Builder', 'Cartoon', 'Beautiful', 'fun', 'skill', 'Life Sim', 'Animals', 'tycoon', 'flowers', 'animal']",2018-08-03,0.0
13266,395760,[],"['Early Access', 'Utilities', 'Design & Illustration']",2016-04-07,2.45
13267,1105670,"['Strategy', 'Indie', 'RPG']","['Singleplayer', 'Great Soundtrack', 'RPG', 'Difficult', 'role-playing', 'Turn-Based', 'Post-apocalyptic', 'Dark Fantasy', 'Isometric', 'Roguelite', 'Turn-Based Tactics', 'Tactical RPG']",2023-03-08,3.67
13268,292300,"['Casual', 'Adventure']","['Singleplayer', 'Horror', 'Point & Click', 'Nudity', 'Family Friendly']",2014-06-06,0.0
13269,514890,"['Indie', 'Adventure', 'Action']","['Singleplayer', 'Steam Cloud', 'steam-trading-cards', 'Great Soundtrack', 'RPG', '2D', 'Partial Controller Support', 'Cute', 'Metroidvania']",2014-07-14,0.0
13270,528740,"['Strategy', 'Massively Multiplayer', 'RPG', 'Simulation']","['Steam Achievements', 'Multiplayer', 'steam-trading-cards', 'Sci-fi', 'Survival', 'Free to Play', 'Online multiplayer', 'Tactical', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Futuristic', 'Aliens', 'mmo']",2016-08-20,0.0
13271,726820,"['Indie', 'Adventure']","['Singleplayer', 'Full controller support', 'Early Access']",2017-11-02,0.0
13272,427820,"['Strategy', 'Puzzle']","['Singleplayer', 'Full controller support', 'Stealth', 'Turn-Based']",2016-02-23,3.58
13273,241260,['Adventure'],"['Singleplayer', 'Steam Achievements', 'Full controller support', 'Atmospheric', 'Steam Cloud', 'steam-trading-cards', 'Story Rich', 'Open World', 'First-Person', 'Third Person', 'Horror', 'Classic', 'Point & Click', 'Mystery', 'Choices Matter', 'Historical', 'Crime', 'Detective', 'Investigation']",2014-09-30,3.91
13274,696260,[],['jam'],2019-06-13,0.0
13275,1451480,[],['jam'],2019-06-13,0.0
13276,241300,[],"['Horror', 'FPS']",2023-01-20,0.0
13277,249680,"['Adventure', 'Action']","['combat', 'Epic', 'hero', 'death', 'challenge', 'ancient']",2013-09-20,2.57
13278,887720,"['Adventure', 'Action']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Atmospheric', 'Steam Cloud', 'steam-trading-cards', 'Great Soundtrack', 'Story Rich', 'Third Person', 'Horror', 'Gore', 'Difficult', 'Classic', 'Female Protagonist', 'Survival', 'Third-Person Shooter', 'Zombies', 'Survival Horror', 'Remake', 'tank controls', 'fixed camera']",2016-01-19,3.83
13279,345640,"['Adventure', 'RPG']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'steam-trading-cards', 'RPG', 'Steam Leaderboards', 'stats', 'Match 3']",2015-02-24,0.0
13280,1119700,[],"['Roguelike', 'Management', 'city', 'Soundtrack', 'build', 'journey', 'Agriculture', 'pack', 'bear', 'builder']",2020-09-09,0.0
13281,812850,[],['jam'],2019-06-13,0.0
13282,453310,"['Indie', 'Adventure']","['Singleplayer', 'Steam Achievements', 'Full controller support', 'Story Rich', 'First-Person', 'Female Protagonist', 'stats', 'Walking Simulator', 'overlay', 'achievements']",2017-04-03,3.38
13283,850630,[],['jam'],2019-06-13,0.0
13284,269470,"['Arcade', 'Sports']","['Singleplayer', 'Multiplayer']",2002-10-23,4.22
13285,46710,['Strategy'],"['Singleplayer', 'Naval']",2009-10-11,1.67
13286,297410,[],['jam'],2019-06-13,0.0
13287,290790,['Strategy'],"['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Steam Cloud', 'steam-trading-cards', 'Great Soundtrack', 'Open World', 'Sci-fi', 'Steam Leaderboards', 'Sandbox', 'Female Protagonist', 'stats', 'Steam Workshop', 'Space', 'Includes level editor', 'Futuristic', 'Aliens', 'RTS', 'Competitive', 'Valve Anti-Cheat enabled', 'Robots', 'Base Building', 'Mechs']",2015-01-23,3.32
13288,1166290,"['Indie', 'Simulation']","['Singleplayer', 'Atmospheric', 'Great Soundtrack', 'Story Rich', '2D', 'Choices Matter', 'Dark Humor', 'death', 'Narrative', 'Unity', 'weird', 'Meaningful Choices', 'watercolor']",2019-08-30,3.91
13289,270310,['Indie'],"['Singleplayer', 'Steam Achievements', 'Full controller support', 'steam-trading-cards', 'Pixel Graphics']",2016-08-30,1.92
13290,1714040,['Strategy'],"['Multiplayer', '2D', 'Free to Play', 'PvP', 'Family Friendly', 'In-App Purchases', 'Cute', 'Colorful', 'combat', 'Online PvP', 'Card Game', 'Minimalist', 'Horses', 'Dog', 'Card Battler', 'Asynchronous Multiplayer', 'Auto Battler', 'Автобаттлер']",2021-04-14,3.89
13291,669660,[],['jam'],2019-06-13,0.0
13292,1261040,"['Adventure', 'Action', 'Casual', 'Strategy', 'Simulation', 'Indie']","['Singleplayer', 'Steam Achievements', 'Open World', 'First-Person', 'Funny', 'Exploration', 'Sandbox', 'Nudity', 'Replay Value', 'Realistic', 'Walking Simulator', 'Sexual Content', 'Driving', 'Hacking', 'Life Sim']",2020-08-21,3.29
13293,360030,['RPG'],[],2022-07-22,0.0
